Material;Centro;Tipo de avaliação;Texto breve de material;Última modificação;Tipo de material;Grupo de mercadorias;Unid.medida básica;Grupo de compradores;Código ABC;Tipo de MRP;Classe de avaliação;Controle de preço;Preço;Moeda;Unidade preço;Criado por;Centro Origem
10000355;D050;;RGT FT4 G2 200T ELEC COBAS ROCHE;12/05/2020;ZROH;AC;KIT;070;C;ND;3000;V;34,98;BRL;1;C29407541878;D386
10000357;D050;;RGT SHBG M ELEC 100T ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;201,58;BRL;1;C29407541878;D490
10000359;D050;;CLB FT4 GER2 CS ELEC COBAS C/4 1ML ROCHE;20/05/2020;ZROH;AC;KIT;070;C;ND;3000;V;28,41;BRL;1;C29407541878;D044
10000360;D050;;RGT T3 ESTREPTAVIDINA 200T ELEC ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;39,59;BRL;1;C29407541878;D044
10000361;D050;;RGT TP C/12 950T 10ML STAGO;20/05/2020;ZROH;AC;KIT;056;A;ZM;3000;V;0,00;BRL;1;C29407541878;D209
10000363;D050;;CLB CS FT3 GER3 COBAS/ELEC C/4 1ML ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;44,65;BRL;1;C29407541878;D474
10000367;D050;;RGT T4 G2 ESTREPTAV ELEC 200T ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;39,18;BRL;1;C29407541878;D043
10000369;D050;;CONTRA DOTAREN 60ML GUERBET;15/05/2020;ZROH;RDI;KIT;056;C;PD;3000;V;249,00;BRL;1;C29407541878;D108
10000372;D050;;RGT FT3 GER 3 ELEC COBAS 200T ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;43,31;BRL;1;C29407541878;D474
10000373;D050;;RGT TESTOSTERONA 100T ELEC ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;122,91;BRL;1;C29407541878;D480
10000379;D050;;CONTRA HENETIX 300 100ML GUERBET;20/04/2020;ZROH;RDI;FR;056;A;VV;3000;V;45,27;BRL;1;C29407541878;D050
10000395;D050;;TELEBRIX 35 35X50ML GUERBET;19/05/2020;ZROH;MAT MED;FR;056;C;ND;3000;V;0,00;BRL;1;C29407541878;D043
10000396;D050;;RGT IDENTIS DIANA C/11 110T 5ML GRIFOLS;03/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;450,00;BRL;1;C29407541878;D043
10000398;D050;;SERING DESC INSULINA 1ML BD;19/05/2020;ZROH;MAT MED;UN;056;C;ZM;3020;V;0,37;BRL;1;C29407541878;X002
10000402;D050;;RGT SERASCAN DIANA DIA 150T 10ML GRIFOLS;11/05/2020;ZROH;AC;KIT;056;C;ZM;3000;V;0,00;BRL;1;C29407541878;D491
10000404;D050;;RGT TTPA C/12 950T 5ML STAGO;20/05/2020;ZROH;AC;KIT;056;B;PD;3000;V;202,16;BRL;1;C29407541878;D491
